name,PARTY,handle,STATEABBR,RACE,DISTRICT,ELECTIONDATE,VOTE_SHARE,NOTES,NONPARTISAN_PRIMARY,DISTRICT_CORR,STATE_CORR,RUNOFF_PERC,RANKED_CHOICE_VOTING,COMPLETE
Esther J. King,R,esther4congress,IL,US Representative,17,28/06/2022,67.9,,,,,,,Y
Litesa E. Wallace,D,,IL,US Representative,17,28/06/2022,23.1,,,,,,,Y
Cheri Bustos,D,cheribustos,IL,US Representative,17,28/06/2022,,NL,,,,,,Y
Robin Kelly,D,robinlynnekelly,IL,US Representative,2,28/06/2022,100,,,,,,,Y
Justin Burau,R,justinburau,IL,US Representative,3,28/06/2022,100,,,,,,,Y
Gilbert Villegas,D,gilbert36ward,IL,US Representative,3,28/06/2022,23.9,,,,,,,Y
Delia C. Ramirez,D,,IL,US Representative,3,28/06/2022,65.6,,,,,,,Y
Jesús G. Garcia,D,,IL,US Representative,4,28/06/2022,100,,,,,,,Y
Khai-Hoan Dac Huynh,D,hoandhuynh,IL,US Representative,5,28/06/2022,45.2,,,13,,,,Y
Raleigh Bowman,D,raleighbowman,IL,US Representative,5,28/06/2022,,WD,,,,,,Y
Mike Quigley,D,quigleycampaign,IL,US Representative,5,28/06/2022,100,,,,,,,Y
Keith Pekau,R,,IL,US Representative,6,28/06/2022,38.5,,,,,,,Y
Niki Conforti,R,niki_conforti,IL,US Representative,6,28/06/2022,11.5,,,,,,,Y
Robert Cruz,R,cruzforil,IL,US Representative,6,28/06/2022,5.8,,,,,,,Y
Sean Casten,D,votecasten,IL,US Representative,6,28/06/2022,68.1,,,,,,,Y
Marie Newman,D,,IL,US Representative,6,28/06/2022,28.8,,,,,,,Y
Kina I. Collins,D,kinacollinsil,IL,US Representative,7,28/06/2022,45.4,,,,,,,Y
Danny K. Davis,D,dannykdavis7th,IL,US Representative,7,28/06/2022,52.2,,,,,,,Y
Junaid U. Ahmed,D,junaidforus,IL,US Representative,8,28/06/2022,28.7,,,,,,,Y
Mohammed Faheem,D,faheem4congress,IL,US Representative,8,28/06/2022,,NL,,,,,,Y
Raja Krishnamoorthi,D,rajaforcongress,IL,US Representative,8,28/06/2022,71.3,,,,,,,Y
Jan Schakowsky,D,janschakowsky,IL,US Representative,9,28/06/2022,100,,,,,,,Y
Robert Piton,R,uamerica333,IL,US Senator,,28/06/2022,9.2,,,,,,,Y
Robert Cruz,R,cruzforil,IL,US Senator,,28/06/2022,,WD,,,,,,Y
Allison Salinas,R,allison81821881,IL,US Senator,,28/06/2022,,WD,,,,,,Y
Timothy C. Arview,R,arview4illinois,IL,US Senator,,28/06/2022,,WD,,,,,,Y
Casey Chlebek,R,caseysenate,IL,US Senator,,28/06/2022,10.6,,,,,,,Y
Peggy Hubbard,R,peggyhubbardil,IL,US Senator,,28/06/2022,24.7,,,,,,,Y
Jimmy L. Tillman,R,tillman_ii,IL,US Senator,,28/06/2022,5.1,,,,,,,Y
Tammy Duckworth,D,tammyduckworth,IL,US Senator,,28/06/2022,100,,,,,,,Y
Martin Lucas,R,votelucas2022,IN,US Representative,1,03/05/2022,3.6,,,,,,,Y
Jennifer-Ruth Green,R,jenruthgreen,IN,US Representative,1,03/05/2022,47.1,,,,,,,Y
Frank Mrvan,D,mrvan4congress,IN,US Representative,1,03/05/2022,86.4,,,,,,,Y
Thomas M. McDermott,D,gomcdermott,IN,US Representative,1,03/05/2022,,NL,,,,,,Y
Stephen Kurant,D,,IN,US Representative,2,03/05/2022,,WD,,,,,,Y
Jackie Walorski,R,jackiewalorski,IN,US Representative,2,03/05/2022,100,,,,,,,Y
Gary Snyder,D,,IN,US Representative,3,03/05/2022,56.2,,,,,,,Y
Forrest A. Bower,D,forrestbower4in,IN,US Representative,3,03/05/2022,,WD,,,,,,Y
John M. Stephens,D,,IN,US Representative,3,03/05/2022,,WD,,,,,,Y
Jim Banks,R,jim_banks,IN,US Representative,3,03/05/2022,100,,,,,,,Y
Thomas Charles Bookwalter,R,tcbookwalter,IN,US Representative,4,03/05/2022,,WD,,,,,,Y
Jim Baird,R,,IN,US Representative,4,03/05/2022,100,,,,,,,Y
Victoria Spartz,R,victoria_spartz,IN,US Representative,5,03/05/2022,100,,,,,,,Y
Barton W. Teeters,D,,IN,US Representative,6,03/05/2022,,WD,,,,,,Y
Greg Pence,R,gregpencein,IN,US Representative,6,03/05/2022,77.6,,,,,,,Y
Andre Carson,D,andre4congress,IN,US Representative,7,03/05/2022,93.9,,,,,,,Y
Gabriel M. Whitley,R,,IN,US Representative,8,03/05/2022,,WD,,,,,,Y
Larry Bucshon,R,drlarrybucshon,IN,US Representative,8,03/05/2022,100,,,,,,,Y
Matthew J. Fyfe,D,hoosiers4fyfe,IN,US Representative,9,03/05/2022,56.8,,,,,,,Y
D. Liam Dorris,D,dliamdorris,IN,US Representative,9,03/05/2022,14,,,,,,,Y
Trey Hollingsworth,R,,IN,US Representative,9,03/05/2022,,NL,,,,,,Y
Haneefah Khaaliq,D,haneefahkhaaliq,IN,US Senator,,03/05/2022,,WD,,,,,,Y
Thomas M. McDermott,D,gomcdermott,IN,US Senator,,03/05/2022,100,,,,,,,Y
Valerie L. McCray,D,drvmccray2022,IN,US Senator,,03/05/2022,,WD,,,,,,Y
Todd C. Young,R,toddyoungin,IN,US Senator,,03/05/2022,100,,,,,,,Y
Christina Bohannan,D,bohannaniowa,IA,US Representative,1,07/06/2022,99.7,,,,,,,Y
Mariannette Miller-Meeks,R,millermeeks,IA,US Representative,1,07/06/2022,98.7,,,,,,,Y
Ashley Hinson,R,hinsonashley,IA,US Representative,2,07/06/2022,99.3,,,,,,,Y
Liz Mathis,D,lizmathis1,IA,US Representative,2,07/06/2022,99.6,,,,,,,Y
Nicole Hasso,R,,IA,US Representative,3,07/06/2022,19.4,,,,,,,Y
Cindy Axne,D,axne4congress,IA,US Representative,3,07/06/2022,99.5,,,,,,,Y
Zach Nunn,R,nunnforcongress,IA,US Representative,3,07/06/2022,65.8,,,,,,,Y
Mary Ann Hanusa,R,maryannhanusa,IA,US Representative,3,07/06/2022,,WD,,,,,,Y
Randy Feenstra,R,randyfeenstra,IA,US Representative,4,07/06/2022,98.9,,,,,,,Y
Glenn Hurst,D,drglennhurst,IA,US Senator,,07/06/2022,4.8,,,,,,,Y
Dave Muhlbauer,D,davemuhlbauer,IA,US Senator,,07/06/2022,,WD,,,,,,Y
Jim Carlin,R,carlinussenate,IA,US Senator,,07/06/2022,26.5,,,,,,,Y
Abby Finkenauer,D,abby4iowa,IA,US Senator,,07/06/2022,39.9,,,,,,,Y
Michael T. Franken,D,frankenforiowa,IA,US Senator,,07/06/2022,55.2,,,,,,,Y
Chuck Grassley,R,grassleyworks,IA,US Senator,,07/06/2022,73.3,,,,,,,Y
Michael A. Soetaert,D,soetaertmichael,KS,US Representative,1,02/08/2022,,NL,,,,,,Y
Tracey Mann,R,traceymannks,KS,US Representative,1,02/08/2022,100,,,,,,,Y
Patrick Schmidt,D,patrickforks,KS,US Representative,2,02/08/2022,100,,,,,,,Y
Jake LaTurner,R,jakelaturner,KS,US Representative,2,02/08/2022,100,,,,,,,Y
Amanda L. Adkins,R,amanda_adkins,KS,US Representative,3,02/08/2022,77.3,,,,,,,Y
Sharice Davids,D,sharicedavids,KS,US Representative,3,02/08/2022,100,,,,,,,Y
Ron Estes,R,ronestesks,KS,US Representative,4,02/08/2022,100,,,,,,,Y
Mark R. Holland,D,holland4kansas,KS,US Senator,,02/08/2022,38,,,,,,,Y
Michael A. Soetaert,D,soetaertmichael,KS,US Senator,,02/08/2022,3.6,,,,,,,Y
Joan E. Farr,R,farrforus,KS,US Senator,,02/08/2022,19.7,,,,,,,Y
Jerry Moran,R,moranforkansas,KS,US Senator,,02/08/2022,80.3,,,,,,,Y
David L. Sharp,R,sharpcongress,KY,US Representative,1,17/05/2022,,WD,,,,,,Y
Jimmy C. Ausbrooks,D,jimmy4congress,KY,US Representative,1,17/05/2022,,C,,,,,,Y
James Comer,R,repjamescomer,KY,US Representative,1,17/05/2022,,C,,,,,,Y
William D. Compton,D,,KY,US Representative,2,17/05/2022,41.8,,,,,,,Y
Brett Guthrie,R,brettguthrie,KY,US Representative,2,17/05/2022,78.1,,,,,,,Y
Rhonda R. Palazzo,R,rhonda_congress,KY,US Representative,3,17/05/2022,29.4,,,,,,,Y
Attica Scott,D,atticaforky,KY,US Representative,3,17/05/2022,36.7,,,,,,,Y
Gregory P. Puccetti,R,,KY,US Representative,3,17/05/2022,9.1,,,,,,,Y
Robert L. DeVore,R,superdevore7,KY,US Representative,3,17/05/2022,,WD,,,,,,Y
Claire Wirth,R,,KY,US Representative,4,17/05/2022,15.7,,,,,,,Y
Thomas Massie,R,massieforky,KY,US Representative,4,17/05/2022,75.2,,,,,,,Y
Jeannette Andrews,R,jandrews1stgen,KY,US Representative,5,17/05/2022,4.5,,,,,,,Y
Richard J. Van Dam,R,,KY,US Representative,5,17/05/2022,3,,,,,,,Y
Hal Rogers,R,halrogersky5,KY,US Representative,5,17/05/2022,82.6,,,,,,,Y
Christopher Preece,D,,KY,US Representative,6,17/05/2022,48.3,,,,,,,Y
Derek L. Petteys,R,liberty4ky,KY,US Representative,6,17/05/2022,12.2,,,,,,,Y
Andy Barr,R,barrforcongress,KY,US Representative,6,17/05/2022,87.8,,,,,,,Y
Joshua Wesley Blanton,D,joshuablantonsr,KY,US Senator,,17/05/2022,10.6,,,,,,,Y
Ruth Ann Gao,D,ruthgao4ky,KY,US Senator,,17/05/2022,6.2,,,,,,,Y
Charles Booker,D,booker4ky,KY,US Senator,,17/05/2022,73.3,,,,,,,Y
Rand Paul,R,randpaul,KY,US Senator,,17/05/2022,86.4,,,,,,,Y
Steve Scalise,R,stevescalisegop,LA,US Representative,1,08/11/2022,72.9,,1,,,,,Y
Troy Carter,D,troyc4congress,LA,US Representative,2,08/11/2022,76.7,,1,,,,,Y
Dustin Granger,D,grangerforla,LA,US Representative,3,08/11/2022,,WD,1,,,,,Y
Clay Higgins,R,captclayhiggins,LA,US Representative,3,08/11/2022,64.4,,1,,,,,Y
Mike Johnson,R,mikejohnson,LA,US Representative,4,08/11/2022,,C,1,,,,,Y
Julia Letlow,R,jbletlow,LA,US Representative,5,08/11/2022,67.7,,1,,,,,Y
Garret Graves,R,garretgraves,LA,US Representative,6,08/11/2022,80.6,,1,,,,,Y
Gary Chambers,D,garychambersjr,LA,US Senator,,08/11/2022,17.7,,,,,,,Y
John Kennedy,R,johnkennedyla,LA,US Senator,,08/11/2022,62,,,,,,,Y
Aaron Amede,D,,ME,US Representative,1,14/06/2022,,WD,,,,,,Y
Chellie Pingree,D,pingreeforme,ME,US Representative,1,14/06/2022,100,,,,,,,Y
Elizabeth Caruso,R,lizformaine,ME,US Representative,2,14/06/2022,39.9,,,,,,,Y
Michael Phillip Sutton,D,msutton4mh126,ME,US Representative,2,14/06/2022,,WD,,,,,,Y
Jared Golden,D,golden4congress,ME,US Representative,2,14/06/2022,100,,,,,,,Y
Bruce L. Poliquin,R,brucepoliquin,ME,US Representative,2,14/06/2022,60.1,,,,,,,Y
Jennifer Pingley,D,electjenrn,MD,US Representative,1,28/06/2022,,NL,,,,,,Y
Mia D. Mason,D,mia4md,MD,US Representative,1,28/06/2022,,WD,,,,,,Y
R. David Harden,D,dave_harden,MD,US Representative,1,28/06/2022,30.7,,,,,,,Y
Heather R. Mizeur,D,heathermizeur,MD,US Representative,1,28/06/2022,69.3,,,,,,,Y
Andy Harris,R,repandyharrismd,MD,US Representative,1,28/06/2022,100,,,,,,,Y
Bernard Flowers,R,,MD,US Representative,2,28/06/2022,13.7,,,,,,,Y
Brittany T. Oliver,D,brittanyo,MD,US Representative,2,28/06/2022,,WD,,,,,,Y
Joe Kelley,R,,MD,US Representative,2,28/06/2022,22.7,,,3,,,,Y
Dutch Ruppersberger,D,godutchformd,MD,US Representative,2,28/06/2022,72.4,,,,,,,Y
George Croom,D,,MD,US Representative,3,28/06/2022,,NL,,,,,,Y
Antonio P. Pitocco,R,,MD,US Representative,3,28/06/2022,20.9,,,,,,,Y
Malcolm T. Colombo,D,,MD,US Representative,3,28/06/2022,,WD,,,,,,Y
John Sarbanes,D,johnsarbanes,MD,US Representative,3,28/06/2022,86.6,,,,,,,Y
Glenn F. Ivey,D,glenn_ivey,MD,US Representative,4,28/06/2022,51.2,,,,,,,Y
George E. McDermott,R,georgemcdermot3,MD,US Representative,4,28/06/2022,26.9,,,,,,,Y
Anthony Brown,D,,MD,US Representative,4,28/06/2022,,NL,,,,,,Y
Christopher Palombi,R,chrispalombi,MD,US Representative,5,28/06/2022,73.4,,,,,,,Y
McKayla N. Wilkes,D,meetmckayla,MD,US Representative,5,28/06/2022,19.1,,,,,,,Y
Steny Hoyer,D,stenyhoyer,MD,US Representative,5,28/06/2022,70.4,,,,,,,Y
David Trone,D,davidjtrone,MD,US Representative,6,28/06/2022,79,,,,,,,Y
Aruna Miller,D,arunamiller,MD,US Representative,6,28/06/2022,,NL,,,,,,Y
Neil Parrott,R,neilparrott,MD,US Representative,6,28/06/2022,62.6,,,,,,,Y
Tashi K. Davis,D,tashi_davis,MD,US Representative,7,28/06/2022,7.2,,,,,,,Y
Kweisi Mfume,D,mfume4congress,MD,US Representative,7,28/06/2022,85,,,,,,,Y
Mariela Roca,R,rocaforcongress,MD,US Representative,8,28/06/2022,,NL,,,,,,Y
Jamie Raskin,D,jamie_raskin,MD,US Representative,8,28/06/2022,93.6,,,,,,,Y
James Tarantin,R,jamestarantin,MD,US Senator,,28/06/2022,8.3,,,,,,,Y
Michelle Laurence Smith,D,michellesenate,MD,US Senator,,28/06/2022,21.3,,,,,,,Y
Colin Byrd,D,,MD,US Senator,,28/06/2022,,NL,,,,,,Y
Nnabu Eze,R,eze4senate,MD,US Senator,,28/06/2022,4,,,,,,,Y
Richard Neal,D,nealforcongress,MA,US Representative,1,06/09/2022,99.2,,,,,,,Y
Nicholas Barassi,R,,MA,US Representative,2,06/09/2022,,WD,,,,,,Y
Jeffrey Allen Sossa-Paquette,R,,MA,US Representative,2,06/09/2022,99.4,,,,,,,Y
Jim McGovern,D,mcgovernma,MA,US Representative,2,06/09/2022,99.7,,,,,,,Y
Lori Trahan,D,loritrahanma,MA,US Representative,3,06/09/2022,99.6,,,,,,,Y
Dean A. Tran,R,,MA,US Representative,3,06/09/2022,99.3,,,,,,,Y
Jake Auchincloss,D,jakeauch,MA,US Representative,4,06/09/2022,99.3,,,,,,,Y
Julie A. Hall,R,,MA,US Representative,4,06/09/2022,,WD,,,,,,Y
Katherine Clark,D,,MA,US Representative,5,06/09/2022,99.6,,,,,,,Y
Seth Moulton,D,sethmoulton,MA,US Representative,6,06/09/2022,99.3,,,,,,,Y
Ayanna Pressley,D,ayannapressley,MA,US Representative,7,06/09/2022,98.7,,,,,,,Y
Michael Ruiz,D,,MA,US Representative,8,06/09/2022,,WD,,,,,,Y
Stephen Lynch,D,replynch,MA,US Representative,8,06/09/2022,99,,,,,,,Y
Jesse Brown,R,jessebrownma,MA,US Representative,9,06/09/2022,51.4,,,,,,,Y
Bill Keating,D,williamkeating,MA,US Representative,9,06/09/2022,99.7,,,,,,,Y
Jack Bergman,R,jackbergman_mi1,MI,US Representative,1,02/08/2022,60.6,,,,,,,Y
Huwaida Arraf,D,huwaidaarraf,MI,US Representative,10,02/08/2022,11.8,,,,,,,Y
Brian S. Jaye,D,jayeformi,MI,US Representative,10,02/08/2022,100,,,9,,,,Y
Eric Esshaki,R,esshakicongress,MI,US Representative,10,02/08/2022,,WD,,,,,,Y
Lisa McClain,R,lisaforcongress,MI,US Representative,10,02/08/2022,79.1,,,9,,,,Y
Haley Stevens,D,haleylive,MI,US Representative,11,02/08/2022,59.5,,,,,,,Y
Michelle Wooddell,D,,MI,US Representative,12,02/08/2022,,WD,,,,,,Y
Debbie Dingell,D,debdingell,MI,US Representative,12,02/08/2022,100,,,6,,,,Y
Shanelle M. Jackson,D,electshanelle,MI,US Representative,12,02/08/2022,5,,,,,,,Y
Michael Griffie,D,michaelformi,MI,US Representative,13,02/08/2022,4.6,,,,,,,Y
Adam Hollier,D,adamant4detroit,MI,US Representative,13,02/08/2022,23.5,,,,,,,Y
Rashida Tlaib,D,rashidatlaib,MI,US Representative,13,02/08/2022,64.4,,,12,,,,Y
Bill Huizenga,R,billhuizenga,MI,US Representative,2,02/08/2022,100,,,4,,,,Y
Gabriella Manolache,R,,MI,US Representative,3,02/08/2022,,WD,,,,,,Y
Audra Johnson,R,,MI,US Representative,3,02/08/2022,,WD,,,,,,Y
Hillary Scholten,D,hillaryscholten,MI,US Representative,3,02/08/2022,100,,,,,,,Y
Peter Meijer,R,votemeijer,MI,US Representative,3,02/08/2022,48.3,,,,,,,Y
Thomas J. Norton,R,fornorton,MI,US Representative,3,02/08/2022,34.9,,,2,,,,Y
Anthony D. Feig,D,anthonyfeig,MI,US Representative,4,02/08/2022,,NL,,,,,,Y
John Moolenaar,R,johnmoolenaar,MI,US Representative,4,02/08/2022,65,,,2,,,,Y
Dan Kildee,D,dankildee,MI,US Representative,5,02/08/2022,100,,,8,,,,Y
Jon C. Rocha,R,,MI,US Representative,6,02/08/2022,,WD,,,,,,Y
Gina Johnsen,R,gina4staterep,MI,US Representative,6,02/08/2022,,WD,,,,,,Y
Stephen Carra,R,scarradini,MI,US Representative,6,02/08/2022,,WD,,4,,,,Y
Fred Upton,R,uptonforallofus,MI,US Representative,6,02/08/2022,,NL,,,,,,Y
Tom Barrett,R,sentombarrett,MI,US Representative,7,02/08/2022,100,,,,,,,Y
Tim Walberg,R,timwalberg,MI,US Representative,7,02/08/2022,66.6,,,5,,,,Y
Michael Detmer,R,detmermike,MI,US Representative,8,02/08/2022,,WD,,,,,,Y
Paul Junge,R,votepauljunge,MI,US Representative,8,02/08/2022,54.3,,,,,,,Y
Elissa Slotkin,D,elissaslotkin,MI,US Representative,8,02/08/2022,100,,,7,,,,Y
Andy Levin,D,andy_levin,MI,US Representative,9,02/08/2022,40.5,,,11,,,,Y
Michael M.E. Hastings,R,hastingsforil,MN,US Representative,1,09/08/2022,,WD,,,,,,Y
Jim Hagedorn,R,jimhagedornmn,MN,US Representative,1,09/08/2022,,NL,,,,,,Y
Tyler Kistner,R,kistnercongress,MN,US Representative,2,09/08/2022,,C,,,,,,Y
Angie Craig,D,angiecraigmn,MN,US Representative,2,09/08/2022,,C,,,,,,Y
Paul Berry,R,pbiii4usa,MN,US Representative,2,02/08/2022,,NL,,,,,,Y
Lily Joy Erickson,D,lilyericksonmn,MN,US Representative,3,09/08/2022,,WD,,,,,,Y
Dean Phillips,D,deanbphillips,MN,US Representative,3,09/08/2022,,C,,,,,,Y
Betty McCollum,D,votebetty,MN,US Representative,4,09/08/2022,83.4,,,,,,,Y
Cicely Davis,R,cicelydavismn,MN,US Representative,5,09/08/2022,48,,,,,,,Y
Lacy Johnson,R,lacyjohnsonmn,MN,US Representative,5,09/08/2022,,NL,,,,,,Y
Ilhan Omar,D,ilhanmn,MN,US Representative,5,09/08/2022,50.3,,,,,,,Y
Tom Emmer,R,tomemmer,MN,US Representative,6,09/08/2022,62,,,,,,,Y
Reed Olson,D,,MN,US Representative,7,09/08/2022,,WD,,,,,,Y
Mark J. Lindquist,D,,MN,US Representative,7,09/08/2022,,WD,,,,,,Y
Michelle Fischbach,R,fischbachmn7,MN,US Representative,7,09/08/2022,100,,,,,,,Y
Ernest J. Oppegaard-Peltier,D,,MN,US Representative,8,09/08/2022,,WD,,,,,,Y
Pete Stauber,R,petestauber,MN,US Representative,8,09/08/2022,90.9,,,,,,,Y
Trent Kelly,R,kellyforms01,MS,US Representative,1,07/06/2022,89.6,,,,,,,Y
Bennie G. Thompson,D,bgthompsonms,MS,US Representative,2,07/06/2022,96.2,,,,,,,Y
Shuwaski Young,D,shuwaskiyoung,MS,US Representative,3,07/06/2022,,A,,,,,,Y
Michael Guest,R,guestcongress,MS,US Representative,3,07/06/2022,46.9,,,,,66.2,,Y
Raymond N. Brooks,R,raymondnbrooks1,MS,US Representative,4,07/06/2022,4.6,,,,,,,Y
Mike Ezell,R,mikeezell11,MS,US Representative,4,07/06/2022,25.1,,,,,53.6,,Y
Carl L. Boyanton,R,carl4congressms,MS,US Representative,4,07/06/2022,6.2,,,,,,,Y
Steven Palazzo,R,stevenpalazzo,MS,US Representative,4,07/06/2022,31.6,,,,,46.4,,Y
Andrew M. Jones,R,ajones4mayorstl,MO,US Representative,1,02/08/2022,42.4,,,,,,,Y
Cori Bush,D,coribush,MO,US Representative,1,02/08/2022,69.5,,,,,,,Y
Ben Samuels,D,samuelsformo,MO,US Representative,2,02/08/2022,,WD,,,,,,Y
Trish Gunby,D,trishformo,MO,US Representative,2,02/08/2022,85.2,,,,,,,Y
Ann Wagner,R,annlwagner,MO,US Representative,2,02/08/2022,66.7,,,,,,,Y
Jonathan Karlen,D,karlen4mo,MO,US Representative,3,02/08/2022,20.2,,,,,,,Y
Joshua Nicoloff,D,nicoloff_josh,MO,US Representative,3,02/08/2022,,WD,,,,,,Y
Brandon Wilkinson,R,brawil86,MO,US Representative,3,02/08/2022,16,,,,,,,Y
Blaine Luetkemeyer,R,luetkemeyerb,MO,US Representative,3,02/08/2022,69.9,,,,,,,Y
William Irwin,R,irwincongress,MO,US Representative,4,02/08/2022,8.9,,,,,,,Y
Taylor Burks,R,taylorwburks,MO,US Representative,4,02/08/2022,10.2,,,,,,,Y
Ryan Johnson,R,ryanjohnsonmo,MO,US Representative,4,02/08/2022,,WD,,,,,,Y
Sara Walsh,R,saraformissouri,MO,US Representative,4,02/08/2022,,WD,,,,,,Y
Emanuel Cleaver,D,vote4cleaver,MO,US Representative,5,02/08/2022,85.7,,,,,,,Y
Dakota Shultz,R,repshultz,MO,US Representative,6,02/08/2022,6.4,,,,,,,Y
Henry R. Martin,D,hmforcongress,MO,US Representative,6,02/08/2022,46.2,,,,,,,Y
Justin Dale Snider,R,justindsnider,MO,US Representative,7,02/08/2022,,NL,,,,,,Y
Derral Reynolds,R,derralc,MO,US Representative,7,02/08/2022,,WD,,,,,,Y
Audrey Richards,R,audrey4congress,MO,US Representative,7,02/08/2022,3.1,,,,,,,Y
Eric Burlison,R,ericburlison,MO,US Representative,7,02/08/2022,38.1,,,,,,,Y
Jason Smith,R,jasonsmithmo,MO,US Representative,8,02/08/2022,81.5,,,,,,,Y
Trudy Busch Valentine,D,buschvalentine,MO,US Senator,,02/08/2022,43.2,,,,,,,Y
Ronald E. Deets,R,,MO,US Senator,,02/08/2022,,WD,,,,,,Y
Mark T. McCloskey,R,mccloskeyusa,MO,US Senator,,02/08/2022,3,,,,,,,Y
Spencer R. Toder,D,spencertoder,MO,US Senator,,02/08/2022,4.7,,,,,,,Y
Timothy J. Shepard,D,,MO,US Senator,,02/08/2022,,WD,,,,,,Y
Lucas Kunce,D,lucaskuncemo,MO,US Senator,,02/08/2022,38.4,,,,,,,Y
Jewel W. Kelly,D,jewelcommittee,MO,US Senator,,02/08/2022,1.8,,,,,,,Y
Gena L. Ross,D,drgenalross,MO,US Senator,,02/08/2022,2.4,,,,,,,Y
Eric Greitens,R,ericgreitens,MO,US Senator,,02/08/2022,18.9,,,,,,,Y
Dave Schatz,R,daveschatzmo,MO,US Senator,,02/08/2022,1.1,,,,,,,Y
Scott Sifton,D,scottsifton,MO,US Senator,,02/08/2022,,WD,,,,,,Y
Billy Long,R,auctnr1,MO,US Senator,,02/08/2022,5,,,,,,,Y
Vicky Hartzler,R,,MO,US Senator,,02/08/2022,22.1,,,,,,,Y
Eric S. Schmitt,R,schmitt4senate,MO,US Senator,,02/08/2022,45.6,,,,,,,Y
Mary Todd,R,marytoddformt,MT,US Representative,1,07/06/2022,10.4,,,,,,,Y
Cora Neumann,D,coraformt,MT,US Representative,1,07/06/2022,26.9,,,,,,,Y
Tom Winter,D,winterformt,MT,US Representative,1,07/06/2022,8.2,,,,,,,Y
Laurie Bishop,D,lauriebishopmt,MT,US Representative,1,07/06/2022,,NL,,,,,,Y
Monica Tranel,D,monicatranel,MT,US Representative,1,07/06/2022,64.9,,,,,,,Y
Albert Olszewski,R,alformontana,MT,US Representative,1,07/06/2022,39.7,,,,,,,Y
Ryan K. Zinke,R,ryanzinke,MT,US Representative,1,07/06/2022,41.7,,,,,,,Y
Joseph Zakaria,D,jazarikual,NE,US Representative,1,10/05/2022,13.5,,,,,,,Y
Jeff Fortenberry,R,,NE,US Representative,1,10/05/2022,11.8,UW,,,,,,Y
Alisha Shelton,D,alishakshelton,NE,US Representative,2,10/05/2022,31.4,,,,,,,Y
Don Bacon,R,donjbacon,NE,US Representative,2,10/05/2022,77.1,,,,,,,Y
Carolina Serrano,R,carolina4nv,NV,US Representative,1,14/06/2022,16.8,,,,,,,Y
Amy Vilela,D,amy4thepeople,NV,US Representative,1,14/06/2022,17.6,,,,,,,Y
Dina Titus,D,dinatitus,NV,US Representative,1,14/06/2022,82.4,,,,,,,Y
Aaron M. Sims,D,,NV,US Representative,2,14/06/2022,,WD,,,,,,Y
Rahul A. Joshi,D,,NV,US Representative,2,14/06/2022,7.3,,,,,,,Y
Mark Amodei,R,amodeifornevada,NV,US Representative,2,14/06/2022,54.3,,,,,,,Y
Randell Scott Hynes,D,randellhynes,NV,US Representative,3,14/06/2022,9.9,,,,,,,Y
Clark Bossert,R,clark_bossert,NV,US Representative,3,14/06/2022,9.4,,,,,,,Y
John Kovacs,R,kovacsfornv3,NV,US Representative,3,14/06/2022,10.9,,,,,,,Y
Noah Malgeri,R,,NV,US Representative,3,14/06/2022,7.8,,,,,,,Y
April L. Becker,R,voteaprilbecker,NV,US Representative,3,14/06/2022,67.5,,,,,,,Y
Reinier Prijten,R,rpforcongress,NV,US Representative,3,14/06/2022,,WD,,,,,,Y
Susie Lee,D,susieleenv,NV,US Representative,3,14/06/2022,90.1,,,,,,,Y
Tony Lane,R,tonylanenv,NV,US Representative,4,14/06/2022,,WD,,,,,,Y
Samuel J. Peters,R,sampetersnevada,NV,US Representative,4,14/06/2022,48,,,,,,,Y
Steven Horsford,D,stevenhorsford,NV,US Representative,4,14/06/2022,,C,,,,,,Y
Sam Brown,R,captainsambrown,NV,US Senator,,14/06/2022,34.1,,,,,,,Y
Sharelle Mendenhall,R,sharelle4senate,NV,US Senator,,14/06/2022,3.2,,,,,,,Y
Adam P. Laxalt,R,adamlaxalt,NV,US Senator,,14/06/2022,56.1,,,,,,,Y
Catherine Cortez Masto,D,cortezmasto,NV,US Senator,,14/06/2022,90.3,,,,,,,Y
Gail Huff Brown,R,gailhuffbrown,NH,US Representative,1,13/09/2022,17.8,,,,,,,Y
Tim Baxter,R,timbaxternh,NH,US Representative,1,13/09/2022,9.1,,,,,,,Y
Gilead R. Towne,R,gileadtowne,NH,US Representative,1,13/09/2022,0.6,,,,,,,Y
Karoline Leavitt,R,kleavittnh,NH,US Representative,1,13/09/2022,33.4,,,,,,,Y
Matthew Mowers,R,mowers,NH,US Representative,1,13/09/2022,25.5,,,,,,,Y
Chris Pappas,D,chrispappasnh,NH,US Representative,1,13/09/2022,100,,,,,,,Y
Dean A. Poirier,R,,NH,US Representative,2,13/09/2022,3.3,,,,,,,Y
Robert A. Burns,R,burnsfornh,NH,US Representative,2,13/09/2022,32.9,,,,,,,Y
Lily Tang Williams,R,lily4liberty,NH,US Representative,2,13/09/2022,24.9,,,,,,,Y
Ann McLane Kuster,D,annmclanekuster,NH,US Representative,2,13/09/2022,100,,,,,,,Y
Donald C. Bolduc,R,gendonbolduc,NH,US Senator,,13/09/2022,37.1,,,,,,,Y
Gerard Beloin,R,gerardbeloin,NH,US Senator,,13/09/2022,0.4,,,,,,,Y
Kevin H. Smith,R,,NH,US Senator,,13/09/2022,11.7,,,,,,,Y
